propagationModel,distance,duration,signalStrength,throughput
ns3::ThreeLogDistancePropagationLossModel,171,60,-77.1046,73.74
ns3::ThreeLogDistancePropagationLossModel,176,60,-77.3424,73.742
ns3::ThreeLogDistancePropagationLossModel,181,60,-77.5736,49.7895
ns3::ThreeLogDistancePropagationLossModel,186,60,-77.7984,49.7934
ns3::ThreeLogDistancePropagationLossModel,191,60,-78.0173,49.7938
ns3::ThreeLogDistancePropagationLossModel,196,60,-78.2306,49.8005
ns3::ThreeLogDistancePropagationLossModel,201,60,-78.4796,49.7897
ns3::ThreeLogDistancePropagationLossModel,206,60,-78.8851,49.7879
ns3::ThreeLogDistancePropagationLossModel,211,60,-79.2809,49.7759
ns3::ThreeLogDistancePropagationLossModel,216,60,-79.6674,49.7357
ns3::ThreeLogDistancePropagationLossModel,221,60,-80.045,49.6312
ns3::ThreeLogDistancePropagationLossModel,226,60,-80.4143,49.3792
ns3::ThreeLogDistancePropagationLossModel,231,60,-80.7754,37.2564
ns3::ThreeLogDistancePropagationLossModel,236,60,-81.1288,37.2653
ns3::ThreeLogDistancePropagationLossModel,241,60,-81.4748,37.2576
ns3::ThreeLogDistancePropagationLossModel,246,60,-81.8137,37.2627
ns3::ThreeLogDistancePropagationLossModel,251,60,-81.8137,0
ns3::TwoRayGroundPropagationLossModel,1,60,-34.4272,73.74
ns3::TwoRayGroundPropagationLossModel,6,60,-49.9902,73.7435
ns3::TwoRayGroundPropagationLossModel,11,60,-55.255,73.7498
ns3::TwoRayGroundPropagationLossModel,16,60,-58.5096,73.7461
ns3::TwoRayGroundPropagationLossModel,21,60,-60.8716,73.7473
ns3::TwoRayGroundPropagationLossModel,26,60,-62.7267,73.7463
ns3::TwoRayGroundPropagationLossModel,31,60,-64.2544,73.7475
ns3::TwoRayGroundPropagationLossModel,36,60,-65.5532,73.7488
ns3::TwoRayGroundPropagationLossModel,41,60,-66.6829,73.7437
ns3::TwoRayGroundPropagationLossModel,46,60,-67.6823,73.7386
ns3::TwoRayGroundPropagationLossModel,51,60,-68.5786,73.7425
ns3::TwoRayGroundPropagationLossModel,56,60,-69.3909,73.7423
ns3::TwoRayGroundPropagationLossModel,61,60,-70.1338,73.7498
ns3::TwoRayGroundPropagationLossModel,66,60,-70.8181,73.7461
ns3::TwoRayGroundPropagationLossModel,71,60,-71.4524,73.7398
ns3::TwoRayGroundPropagationLossModel,76,60,-72.0435,73.7447
ns3::TwoRayGroundPropagationLossModel,81,60,-72.5969,73.7447
ns3::TwoRayGroundPropagationLossModel,86,60,-73.1172,73.7451
ns3::TwoRayGroundPropagationLossModel,91,60,-73.608,73.7441
ns3::TwoRayGroundPropagationLossModel,96,60,-74.0726,73.7427
ns3::TwoRayGroundPropagationLossModel,101,60,-74.5136,73.7364
ns3::TwoRayGroundPropagationLossModel,106,60,-74.9333,73.7443
ns3::TwoRayGroundPropagationLossModel,111,60,-75.3336,73.7416
ns3::TwoRayGroundPropagationLossModel,116,60,-75.7163,73.7449
ns3::TwoRayGroundPropagationLossModel,121,60,-76.0829,73.7368
ns3::TwoRayGroundPropagationLossModel,126,60,-76.4346,73.7353
ns3::TwoRayGroundPropagationLossModel,131,60,-76.7726,73.7351
ns3::TwoRayGroundPropagationLossModel,136,60,-77.098,73.7445
ns3::TwoRayGroundPropagationLossModel,141,60,-77.4116,73.7404
ns3::TwoRayGroundPropagationLossModel,146,60,-77.7142,49.7917
ns3::TwoRayGroundPropagationLossModel,151,60,-78.0067,49.7936
ns3::TwoRayGroundPropagationLossModel,156,60,-78.2897,49.7918
ns3::TwoRayGroundPropagationLossModel,161,60,-78.5637,49.7915
ns3::TwoRayGroundPropagationLossModel,166,60,-78.8293,49.796
ns3::TwoRayGroundPropagationLossModel,171,60,-79.0871,49.7918
ns3::TwoRayGroundPropagationLossModel,176,60,-79.3374,49.7749
ns3::TwoRayGroundPropagationLossModel,181,60,-79.5808,49.7461
ns3::TwoRayGroundPropagationLossModel,186,60,-79.8174,49.7099
ns3::TwoRayGroundPropagationLossModel,191,60,-80.0479,49.6399
ns3::TwoRayGroundPropagationLossModel,196,60,-80.2723,49.4592
ns3::TwoRayGroundPropagationLossModel,201,60,-80.4911,49.2276
ns3::TwoRayGroundPropagationLossModel,206,60,-80.7045,37.2641
ns3::TwoRayGroundPropagationLossModel,211,60,-80.9713,37.2641
ns3::TwoRayGroundPropagationLossModel,216,60,-81.3782,37.26
ns3::TwoRayGroundPropagationLossModel,221,60,-81.7757,37.258
ns3::TwoRayGroundPropagationLossModel,226,60,-81.7757,0
ns3::NakagamiPropagationLossModel,1,60,8.60975,73.7423
ns3::NakagamiPropagationLossModel,6,60,8.2481,73.74
ns3::NakagamiPropagationLossModel,11,60,8.62972,73.7435
ns3::NakagamiPropagationLossModel,16,60,13.0754,73.7437
ns3::NakagamiPropagationLossModel,21,60,11.5305,73.7461
ns3::NakagamiPropagationLossModel,26,60,14.8689,73.7412
ns3::NakagamiPropagationLossModel,31,60,9.26443,73.7498
ns3::NakagamiPropagationLossModel,36,60,11.2456,73.7388
ns3::NakagamiPropagationLossModel,41,60,14.3464,73.7463
ns3::NakagamiPropagationLossModel,46,60,10.2972,73.7437
ns3::NakagamiPropagationLossModel,51,60,1.05086,73.7425
ns3::NakagamiPropagationLossModel,56,60,10.0855,73.7414
ns3::NakagamiPropagationLossModel,61,60,15.5437,73.7449
ns3::NakagamiPropagationLossModel,66,60,16.1054,73.7473
ns3::NakagamiPropagationLossModel,71,60,14.3821,73.7473
ns3::NakagamiPropagationLossModel,76,60,5.78373,73.7423
ns3::NakagamiPropagationLossModel,81,60,12.6466,73.7451
ns3::NakagamiPropagationLossModel,86,60,6.36378,73.7461
ns3::NakagamiPropagationLossModel,91,60,16.4047,73.7412
ns3::NakagamiPropagationLossModel,96,60,5.3802,73.7421
ns3::NakagamiPropagationLossModel,101,60,2.21376,73.7398
ns3::NakagamiPropagationLossModel,106,60,11.2367,73.7473
ns3::NakagamiPropagationLossModel,111,60,13.6304,73.7398
ns3::NakagamiPropagationLossModel,116,60,16.6927,73.7475
ns3::NakagamiPropagationLossModel,121,60,-0.214136,73.7461
ns3::NakagamiPropagationLossModel,126,60,7.79003,73.7488
ns3::NakagamiPropagationLossModel,131,60,8.35252,73.7449
ns3::NakagamiPropagationLossModel,136,60,10.7326,73.7463
ns3::NakagamiPropagationLossModel,141,60,8.76799,73.7423
ns3::NakagamiPropagationLossModel,146,60,4.82999,73.7461
ns3::NakagamiPropagationLossModel,151,60,11.4329,73.7412
ns3::NakagamiPropagationLossModel,156,60,4.70833,73.7437
ns3::NakagamiPropagationLossModel,161,60,10.4479,73.7498
ns3::NakagamiPropagationLossModel,166,60,14.6399,73.7463
ns3::NakagamiPropagationLossModel,171,60,11.0609,73.7398
ns3::NakagamiPropagationLossModel,176,60,-2.92299,73.7449
ns3::NakagamiPropagationLossModel,181,60,12.7701,73.7423
ns3::NakagamiPropagationLossModel,186,60,12.7525,73.7496
ns3::NakagamiPropagationLossModel,191,60,10.6757,73.7425
ns3::NakagamiPropagationLossModel,196,60,6.70406,73.7496
ns3::NakagamiPropagationLossModel,201,60,-2.13868,73.7423
ns3::NakagamiPropagationLossModel,206,60,16.0505,73.7398
ns3::NakagamiPropagationLossModel,211,60,-3.27587,73.7423
ns3::NakagamiPropagationLossModel,216,60,4.58351,73.7451
ns3::NakagamiPropagationLossModel,221,60,6.01273,73.7461
ns3::NakagamiPropagationLossModel,226,60,-6.91073,73.7449
ns3::NakagamiPropagationLossModel,231,60,9.60913,73.74
ns3::NakagamiPropagationLossModel,236,60,8.35621,73.7475
ns3::NakagamiPropagationLossModel,241,60,14.9589,73.7475
ns3::NakagamiPropagationLossModel,246,60,15.9294,73.7449
ns3::NakagamiPropagationLossModel,251,60,7.65791,73.7437
